                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.96582,                 2.9603,                 1.3307,                0.00761,                 0.6791,                0.28303,                0.20504,                0.75588,                 3.1339,                 1.1947,                 0.0865,                 0.0015,                 0.0015
                      1,                0.90182,                   2.38,                 1.2578,                0.50523,                0.45896,                0.33696,                0.25822,                0.75179,                 2.9647,                 1.1504,               0.072039,              0.0030386,              0.0030386
                      2,                0.85191,                  1.675,                 1.2067,                0.87772,                 0.1729,                0.51542,                0.36383,                0.90128,                 2.8195,                 1.2863,               0.057514,              0.0045139,              0.0045139
                      3,                0.91466,                 1.4774,                 1.2398,                0.88975,                0.36529,                0.72091,                0.51625,                0.94399,                 2.4649,                  1.342,               0.042926,              0.0059258,              0.0059258
                      4,                0.86535,                 1.3291,                 1.1954,                0.83056,                0.47883,                0.74382,                 0.5447,                0.99468,                 2.1923,                 1.3604,               0.028274,              0.0072743,              0.0072743
                      5,                0.92979,                 1.2826,                  1.234,                0.84054,                0.63117,                 0.7421,                0.49658,                 1.0738,                 2.0503,                 1.4116,                0.01356,              0.0085595,              0.0085595
                      6,                0.93347,                 1.2359,                 1.2227,                0.78725,                0.65732,                0.75782,                0.52459,                 1.0365,                 1.7632,                 1.3915,               0.008812,               0.008812,               0.008812
                      7,                0.89341,                  1.199,                 1.1897,                0.61637,                0.49041,                0.52137,                0.27324,                 1.4651,                 2.3425,                 1.8248,               0.008812,               0.008812,               0.008812
                      8,                0.89836,                 1.1473,                 1.2121,                0.75217,                0.54983,                0.65066,                0.38075,                 1.3711,                 1.9388,                 1.9886,               0.008614,               0.008614,               0.008614
                      9,                0.91869,                 1.1568,                 1.2474,                0.76762,                0.67724,                0.71046,                0.42197,                 1.4405,                 1.7453,                 1.7046,               0.008416,               0.008416,               0.008416
                     10,                0.87354,                 1.0917,                 1.2034,                0.83809,                0.67158,                0.73723,                0.45741,                 1.3011,                 1.7612,                 1.5857,               0.008218,               0.008218,               0.008218
                     11,                0.89067,                 1.0642,                 1.2103,                0.75989,                0.69608,                 0.7713,                0.52138,                 1.1267,                 1.5487,                 1.4106,                0.00802,                0.00802,                0.00802
                     12,                0.88609,                 1.0687,                 1.2048,                0.75036,                0.73657,                0.76712,                 0.5441,                  1.053,                 1.5317,                 1.4325,               0.007822,               0.007822,               0.007822
                     13,                0.86815,                 1.0626,                 1.2203,                0.78896,                0.68234,                0.76044,                 0.5228,                 1.1038,                  1.445,                 1.5043,               0.007624,               0.007624,               0.007624
                     14,                0.85808,                 1.0007,                  1.202,                0.84023,                0.69804,                0.76363,                0.52189,                 1.1764,                 1.3774,                 1.5974,               0.007426,               0.007426,               0.007426
                     15,                0.87633,                0.98236,                 1.2049,                 0.7622,                0.70043,                0.72385,                0.46679,                 1.2263,                 1.5105,                 1.6459,               0.007228,               0.007228,               0.007228
                     16,                0.83708,                0.98309,                 1.1771,                0.76292,                0.71469,                 0.7449,                0.49037,                 1.2277,                  1.421,                 1.5982,                0.00703,                0.00703,                0.00703
                     17,                0.82958,                0.94063,                 1.1519,                0.83666,                0.69296,                 0.7723,                0.54618,                 1.1002,                 1.3352,                 1.4636,               0.006832,               0.006832,               0.006832
                     18,                0.86639,                 0.9512,                 1.1899,                0.87396,                 0.6959,                0.78578,                0.55796,                 1.1052,                 1.2589,                 1.4859,               0.006634,               0.006634,               0.006634
                     19,                0.82725,                0.91392,                 1.1726,                0.82801,                0.69504,                0.76186,                0.50875,                 1.2345,                 1.2881,                 1.5192,               0.006436,               0.006436,               0.006436
